gPlusPlaceId,name,price,lat,lon,city,address,Grid,category
101742583391038750118,Carpo London,,51.509499,-0.135762,London,"16 Piccadilly, London W1J 0DE, United Kingdom",L159,Retail
100574642292837870712,Premium Cars,,51.514637,-0.06498,London,"10 Commercial Road Premium Cars First Floor, Shadwell, London, United Kingdom",L186,Other
105185983265572241970,eSpares Ltd,,51.479416,-0.179209,London,"Chelsea Wharf, 15 Lots Rd, London, Chelsea SW10 0QJ, United Kingdom",L40,Wholesale
104500852703501308358,Superdrug,,51.494537,-0.145769,London,"Unit 35, Victoria Railway Station, London SW1V 1JT, United Kingdom",L101,Retail
107519298595557659572,Kura,2.0,51.502122,-0.163029,London,"3-4 Park Close, London SW1X 7PQ, United Kingdom",L137,Restaurant
110965682938335262623,MW Buffet,,51.511599,-0.13265,London,"58-60 Shaftesbury Ave, London W1D 6LS, United Kingdom",L178,Restaurant
111952906814225212462,Psycle,,51.517548,-0.142437,London,"76 Mortimer St, Marylebone, London W1W 7SD, United Kingdom",L196,Service
110410831345571817859,The Natural Curtain Company,,51.47936,-0.179219,London,"Unit E 31A, Chelsea Wharf, 15 Lots Rd, London SW10 0QJ, United Kingdom",L40,Retail
114402570264393932087,The Black Prince,,51.489596,-0.112059,London,"6 Black Prince Rd, Kennington, London SE11 6HS, United Kingdom",L85,Bar
109782043669604718776,David & Goliath,,51.512088,-0.123192,London,"4 The Market Place, Covent Garden, London, WC2E 8RA, United Kingdom",L179,Retail
116987040291678804769,Chase Cooper,,51.52187,-0.085602,London,"Chase Cooper Ltd Tempest House, 9 Hewett St, London EC2A 3NN, United Kingdom",L221,Other
113902795552452125589,Dragon Castle,,51.492032,-0.098308,London,"100 Walworth Rd, London SE17 1JL, United Kingdom",L106,Restaurant
118015677531442111061,Bengal Village Brick Lane,,51.520094,-0.072082,London,"75 Brick Ln, London, E1 6QL, United Kingdom",L223,Restaurant
101244214375242315280,Hyde Park & Kensington Gardens,,51.5128,-0.1614,London,"Hyde Park, W2, London W2 2UH, United Kingdom",L175,Outdoors
101487307601872781405,J & J Auto's,,51.54388,-0.123358,London,"Unit 2, Acorn Production Centre, 105 Blundell St, London N7 9BN, United Kingdom",L293,Other
100209783946747415010,Netil Market,,51.537761,-0.057897,London,"23 Westgate St, London E8, United Kingdom",L281,Cafe
106504827484306019285,American Dry Cleaning,,51.556429,-0.17815,London,"47 Hampstead High St, London NW3 1QG, United Kingdom",L344,Service
109756463795634749982,Kensington Tandoori,,51.499391,-0.196889,London,"1 Abingdon Rd, London, W8 6AH, United Kingdom",L114,Restaurant
105575712407170579604,Banana Republic,2.0,51.51395,-0.140677,London,"224 Regent St, London Flagship, London W1B 3BR, United Kingdom",L177,Retail
111689767110660609684,Aubaine,3.0,51.510944,-0.139319,London,"4 Heddon St, London W1B 4BS, United Kingdom",L177,Restaurant
107501072093786916721,The Bermondsey & Lansdowne Medical Mission,,51.497226,-0.082848,London,"Decima Street Surgery, 6 Decima St, London SE1 4QX, United Kingdom",L127,Health
109525307971945009076,JW Steakhouse,3.0,51.509689,-0.155718,London,"86 Park Ln, London W1K 7TN, United Kingdom",L156,Restaurant
104403339026013271682,Chillies Restaurant,2.0,51.519042,-0.071572,London,"76 Brick Ln, Brick Lane, London E1 6RL, United Kingdom",L204,Restaurant
109127153625707965544,Chequepoint,,51.510463,-0.186851,London,"2 Queensway, London W2 3RX, United Kingdom",L172,Service
107378682654385031768,Number Six,,51.520384,-0.072047,London,"The Old Truman Brewery, 6 Dray Walk, London E1 6QL, United Kingdom",L223,Retail
106725008871259930289,"Computer Repair London | Laptop repair service, virus removal, ipad fix",,51.499115,-0.184248,London,"20 Albert Mews, London, United Kingdom W8 5RU, United Kingdom",L115,Service
100706724519685097068,Shaukat & Co,,51.49091,-0.183683,London,"170-172 Old Brompton Road, London, Greater London, SW5 0BA, United Kingdom, United Kingdom",L77,Other
110117948165200830097,Flemings Mayfair,,51.506432,-0.145189,London,"7-12 Half Moon St, London W1J 7BH, United Kingdom",L158,Bar
113910277962218462171,Michael's Shoe Repairs,,51.482358,-0.124077,London,"45 S Lambeth Rd, London, Vauxhall SW8 1RH, United Kingdom",L65,Retail
104045077204137930219,Starbucks Coffee Hampstead,2.0,51.548042,-0.190887,London,"201A W End Ln, London NW6 2LJ, United Kingdom",L305,Cafe
114929847283023391129,Rutherford Berwyn,,51.556478,-0.160266,London,"43 Nassington Rd, London NW3 2TY, United Kingdom",L346,Other
111051931541744954293,Novaroon,,51.474535,-0.121265,London,"13 Lansdowne Way, London SW8 1HL, United Kingdom",L27,Restaurant
105056945589266410566,Workshop Marylebone,,51.515964,-0.150799,London,"75 Wigmore St, London W1U 1QD, United Kingdom",L195,Cafe
100258918889485301654,Denmark Street Studios,,51.515345,-0.129439,London,"22 Denmark St, London, United Kingdom",L197,Other
103673564318427924834,The White Swan,,51.511017,-0.125703,London,"14 New Row, London WC2N 4LF, United Kingdom",L179,Bar
103493159103476742775,Leon,,51.506552,-0.099553,London,"7 Canvey St, London SE1 9AN, United Kingdom",L163,Bar
103550421564348092014,Rainbow Tours,,51.538828,-0.102065,London,"Layden House, 76-86 Turnmill St, London EC1M 5QU, United Kingdom",L276,Other
110626815438206705480,Princes Gardens,,51.499921,-0.172678,London,"Imperial College, London SW7 1BA, United Kingdom",L117,Outdoors
113937748650723332630,Pret A Manger,2.0,51.494311,-0.14687,London,"92 Buckingham Palace Rd, London SW1W 0SS, United Kingdom",L100,Restaurant
112139778433452132425,Yog,,51.526099,-0.109007,London,"45 Exmouth Market, London EC1R 4QE, United Kingdom",L238,Retail
114231868834299032115,Kensington Court Hotel,,51.492662,-0.196297,London,"33-35 Nevern Pl, London SW5 9NP, United Kingdom",L95,Accommodation
103854517698017577351,Hunan,3.0,51.490502,-0.15275,London,"51 Pimlico Rd, London SW1W 8NE, United Kingdom",L81,Restaurant
115137910708500841991,Il Tempo,,51.509675,-0.125874,London,"48 Chandos Pl, London WC2N 4HS, United Kingdom",L160,Cafe
105974252083318487474,Fatoush,,51.518357,-0.167958,London,"183 Edgware Rd, London W2 1ET, United Kingdom",L193,Restaurant
100308204814079146459,Harrods,,51.499405,-0.163234,London,"87-135 Brompton Rd, London SW1X 7XL, United Kingdom",L118,Retail
114925835595593062504,Vie Health Club,,51.52221,-0.107857,London,"122 Clerkenwell Rd, London, EC1R 5DL, United Kingdom",L219,Service
116279707077709290187,The RSA,,51.509403,-0.122644,London,"8 John Adam St, London WC2N 6EZ, United Kingdom",L160,Other
100147065171542440809,Sports Bar & Grill,3.0,51.522261,-0.163696,London,"Marylebone Station, Melcombe Pl, London NW1 6JJ, United Kingdom",L213,Bar
